Year,Month,Sector,New,Renewal,Issued,Refused,Withdrawn
2013,Jul,Education,6,1,7,1,0
2013,Jul,Exchange Agreements,1,0,1,0,0
2013,Jul,Industry,62,10,72,3,1
2013,Jul,Medical & Nursing,46,24,70,5,3
2013,Jul,Service Industry,137,33,170,13,7
2013,Jul,Sport,5,1,6,1,0
2013,Aug,Agriculture & Fisheries,2,1,3,0,1
2013,Aug,Catering,7,3,10,6,1
2013,Aug,Domestic,0,0,0,1,0
2013,Aug,Education,7,2,9,0,2
2013,Aug,Entertainment,2,2,4,1,0
2013,Aug,Industry,58,4,62,4,2
2013,Aug,Medical & Nursing,33,17,50,6,4
2013,Aug,Service Industry,155,28,183,16,2
2013,Aug,Sport,5,3,8,2,0
2013,Sep,Agriculture & Fisheries,3,2,5,1,0
2013,Sep,Catering,9,5,14,12,0
2013,Sep,Domestic,0,2,2,2,0
2013,Sep,Education,6,3,9,0,0
2013,Sep,Entertainment,6,1,7,0,0
2013,Sep,Industry,83,6,89,5,21
2013,Sep,Medical & Nursing,32,3,35,4,2
2013,Sep,Service Industry,220,18,238,23,4
2013,Sep,Sport,3,0,3,0,0
2013,Oct,Agriculture & Fisheries,3,0,3,3,0
2013,Oct,Catering,4,9,13,13,0
2013,Oct,Domestic,0,3,3,2,1
2013,Oct,Education,4,1,5,2,0
2013,Oct,Entertainment,5,0,5,0,0
2013,Oct,Industry,91,4,95,12,1
2013,Oct,Medical & Nursing,22,7,29,7,0
2013,Oct,Service Industry,176,40,216,33,3
2013,Oct,Sport,5,0,5,4,0
2013,Nov,Agriculture & Fisheries,6,1,7,3,0
2013,Nov,Catering,5,7,12,13,0
2013,Nov,Domestic,0,0,0,2,0
2013,Nov,Education,2,0,2,0,0
2013,Nov,Entertainment,1,1,2,0,0
2013,Nov,Industry,66,5,71,9,0
2013,Nov,Medical & Nursing,14,3,17,9,1
2013,Nov,Service Industry,134,37,171,27,5
2013,Nov,Sport,3,0,3,2,0
2013,Dec,Agriculture & Fisheries,5,1,6,0,0
2013,Dec,Catering,9,1,10,5,0
2013,Dec,Education,6,1,7,4,1
2013,Dec,Entertainment,5,0,5,2,0
2013,Dec,Industry,97,5,102,11,2
2013,Dec,Medical & Nursing,21,1,22,8,3
2013,Dec,Service Industry,129,29,158,19,7
2013,Dec,Sport,1,0,1,1,0
2014,Jan,Agriculture & Fisheries,0,3,3,3,0
2014,Jan,Catering,16,2,18,2,0
2014,Jan,Domestic,2,0,2,1,0
2014,Jan,Education,6,0,6,1,0
2014,Jan,Entertainment,5,2,7,0,0
2014,Jan,Exchange Agreements,2,0,2,0,0
2014,Jan,Industry,114,7,121,14,0
2014,Jan,Medical & Nursing,27,8,35,5,0
2014,Jan,Service Industry,224,30,254,38,2
2014,Jan,Sport,1,0,1,0,0
2014,Feb,Agriculture & Fisheries,1,0,1,0,0
2014,Feb,Catering,12,3,15,6,1
2014,Feb,Domestic,2,0,2,0,0
2014,Feb,Education,2,2,4,2,0
2014,Feb,Entertainment,1,1,2,1,0
2014,Feb,Industry,49,5,54,2,1
2014,Feb,Medical & Nursing,31,8,39,26,1
2014,Feb,Service Industry,166,16,182,13,4
2014,Feb,Sport,3,0,3,0,0
2014,Mar,Agriculture & Fisheries,1,2,3,1,0
2014,Mar,Catering,11,2,13,6,1
2014,Mar,Domestic,0,0,0,1,0
2014,Mar,Education,7,4,11,1,0
2014,Mar,Entertainment,0,0,0,1,0
2014,Mar,Industry,77,5,82,15,2
2014,Mar,Medical & Nursing,61,5,66,20,0
2014,Mar,Service Industry,140,34,174,16,2
2014,Mar,Sport,4,0,4,0,0
2014,Apr,Agriculture & Fisheries,2,1,3,1,0
2014,Apr,Catering,6,2,8,9,0
2014,Apr,Education,3,1,4,1,0
2014,Apr,Entertainment,1,0,1,0,0
2014,Apr,Industry,65,2,67,5,0
2014,Apr,Medical & Nursing,80,4,84,9,6
2014,Apr,Service Industry,126,17,143,25,2
2014,Apr,Sport,2,1,3,0,0
2014,May,Agriculture & Fisheries,1,0,1,3,0
2014,May,Catering,13,2,15,4,0
2014,May,Domestic,0,1,1,0,0
2014,May,Education,1,0,1,1,0
2014,May,Exchange Agreements,2,0,2,0,0
2014,May,Industry,93,4,97,3,1
2014,May,Medical & Nursing,82,5,87,7,2
2014,May,Service Industry,156,22,178,13,2
2014,May,Sport,0,2,2,0,0
2014,Jun,Agriculture & Fisheries,9,2,11,1,0
2014,Jun,Catering,5,0,5,6,0
2014,Jun,Domestic,0,0,0,1,0
2014,Jun,Education,3,0,3,0,1
2014,Jun,Entertainment,2,0,2,0,4
2014,Jun,Industry,122,10,132,4,6
2014,Jun,Medical & Nursing,213,4,217,14,2
2014,Jun,Service Industry,187,28,215,9,5
2014,Jun,Sport,4,1,5,0,0
2014,Jul,Agriculture & Fisheries,2,0,2,5,0
2014,Jul,Catering,19,8,27,11,1
2014,Jul,Domestic,3,1,4,1,0
2014,Jul,Education,13,8,21,1,1
2014,Jul,Entertainment,2,1,3,0,0
2014,Jul,Exchange Agreements,4,0,4,0,0
2014,Jul,Industry,134,6,140,11,2
2014,Jul,Medical & Nursing,320,21,341,18,16
2014,Jul,Service Industry,301,36,337,24,2
2014,Jul,Sport,8,0,8,1,0
2014,Aug,Agriculture & Fisheries,2,0,2,1,0
2014,Aug,Catering,16,9,25,3,0
2014,Aug,Domestic,1,1,2,0,1
2014,Aug,Education,11,1,12,0,0
2014,Aug,Entertainment,6,3,9,0,0
2014,Aug,Exchange Agreements,1,0,1,0,0
2014,Aug,Industry,62,8,70,1,1
